nodes,techs,timesteps,source_use
X3,supply_gas,2005-07-02 10:00:00,0.0
X3,supply_gas,2005-07-02 11:00:00,0.0
X3,supply_gas,2005-07-02 12:00:00,0.0
X3,supply_gas,2005-07-02 13:00:00,0.0
X3,supply_gas,2005-07-02 14:00:00,0.0
X3,supply_gas,2005-07-02 15:00:00,0.0
X3,supply_gas,2005-07-02 16:00:00,0.0
X3,supply_gas,2005-07-02 17:00:00,0.0
X3,supply_gas,2005-07-02 18:00:00,0.0
X3,supply_gas,2005-07-02 19:00:00,0.0
X3,supply_gas,2005-07-02 20:00:00,0.0
X3,supply_gas,2005-07-02 21:00:00,0.018352941
X3,supply_gas,2005-07-02 22:00:00,0.018352941
X3,supply_gas,2005-07-02 23:00:00,0.018352941
